,endTime,artistName,trackName,msPlayed
0,2020-12-04 16:20,Hamilton If It Was Sung Entirely By Adam Sandler,1. “Alexander Hamilton”,213
1,2020-12-04 16:21,Hamilton If It Was Sung Entirely By Adam Sandler,1. “Alexander Hamilton”,21620
2,2020-12-04 16:21,Hamilton If It Was Sung Entirely By Adam Sandler,0. Introduction/What the F Is This?,26711
3,2020-12-04 16:21,Panic! At The Disco,I Write Sins Not Tragedies,1920
4,2020-12-04 16:24,Adventuring Academy,Murph and Emily's Friend (with Caldwell Tanner),605446
5,2020-12-04 16:25,Taking Back Sunday,Cute Without The 'E' (Cut From The Team),211546
6,2020-12-04 16:30,Asking Alexandria,The Final Episode (Let's Change Channel),9650
7,2020-12-04 16:30,Brand New,The Boy Who Blocked His Own Shot,279200
8,2020-12-04 16:34,The Wonder Years,Passing Through a Screen Door,245644
9,2020-12-04 16:34,Simple Plan,I'm Just a Kid,6591
10,2020-12-04 16:39,My Chemical Romance,Welcome to the Black Parade,311106
11,2020-12-04 16:43,Real Friends,Get By,212893
12,2020-12-04 16:46,Fall Out Boy,"Dance, Dance",180266
13,2020-12-04 16:46,Pierce The Veil,Fast Times at Clairemont High,1258
14,2020-12-04 16:46,Makeout,Crazy,16793
15,2020-12-04 16:49,La Dispute,Hudsonville MI 1956,6489
16,2020-12-04 16:49,Panic! At The Disco,Death of a Bachelor,203506
17,2020-12-04 16:50,Palaye Royale,Hospital Beds,1642
18,2020-12-04 16:53,Sum 41,Fat Lip,853
19,2020-12-04 16:53,La Dispute,Bury Your Flame,895
20,2020-12-04 16:53,Boston Manor,England's Dreaming - Acoustic,1984
21,2020-12-04 16:53,Bowling For Soup,1985,405
22,2020-12-04 16:53,Pierce The Veil,The Boy Who Could Fly,1258
23,2020-12-04 16:53,Story Of The Year,Until the Day I Die,490
24,2020-12-04 16:53,Panic! At The Disco,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off,191850
25,2020-12-04 16:56,The Wonder Years,Local Man Ruins Everything (Acoustic),180186
26,2020-12-04 16:58,Panic! At The Disco,"Build God, Then We'll Talk",123121
27,2020-12-05 22:32,Panic! At The Disco,"Build God, Then We'll Talk",97608
28,2020-12-05 22:57,Architects,These Colours Don't Run,133003
29,2020-12-14 03:32,Panic! At The Disco,"Build God, Then We'll Talk",10672
30,2020-12-14 03:35,Panic! At The Disco,Into the Unknown - Panic! At The Disco Version,185295
31,2020-12-14 03:39,All Them Witches,Easy,250840
32,2020-12-14 03:43,alt-J,Fitzpleasure,219400
33,2020-12-14 03:46,KALEO,No Good,234240
34,2020-12-14 03:47,The Glorious Sons,S.O.S. (Sawed Off Shotgun),8915
35,2020-12-14 03:50,Sub Urban,Cradles,209829
36,2020-12-14 03:50,Mallory Knox,Giving It Up,16320
37,2020-12-14 03:53,Two Feet,I Feel Like I'm Drowning,185520
38,2020-12-14 03:57,TV On The Radio,Will Do,224986
39,2020-12-14 03:58,Warbly Jets,Propaganda,1091
40,2020-12-14 03:58,Rubi,Jeans,905
41,2020-12-14 03:58,You Me At Six,Night People,49711
42,2020-12-14 03:58,Welshly Arms,Hush,487
43,2020-12-14 03:58,All Them Witches,Family Song for the Leaving,12376
44,2020-12-14 03:58,alt-J,Matilda,3482
45,2020-12-14 03:59,Arctic Monkeys,I Wanna Be Yours,37616
46,2020-12-14 04:02,Arctic Monkeys,R U Mine?,201726
47,2020-12-14 04:05,George Ezra,Did You Hear the Rain?,177440
48,2020-12-14 04:08,alt-J,Tessellate,181400
49,2020-12-14 04:14,Silversun Pickups,Lazy Eye,354360
50,2020-12-14 04:18,KALEO,Way down We Go,213706
51,2020-12-14 04:24,All Them Witches,Right Hand,353250
52,2020-12-14 04:27,The Blue Stones,Black Holes (Solid Ground),20062
53,2020-12-14 04:27,All Them Witches,Open Passageways,194013
54,2020-12-14 04:27,Rival Sons,Do Your Worst,2136
55,2020-12-14 04:31,Cage The Elephant,Cigarette Daydreams,208760
56,2020-12-14 04:34,Cavetown,Devil Town,179955
57,2020-12-14 04:34,cleopatrick,hometown,17075
58,2020-12-14 04:38,The Raconteurs,"Steady, As She Goes",215266
59,2020-12-14 04:41,I DONT KNOW HOW BUT THEY FOUND ME,Choke,195717
60,2020-12-14 04:47,All Them Witches,The Marriage Of Coyote Woman,349613
61,2020-12-14 04:51,Goodbye June,Oh No,221469
62,2020-12-14 04:54,alt-J,Breezeblocks,227080
63,2020-12-14 04:58,Cage The Elephant,Come a Little Closer,229346
64,2020-12-14 05:00,Lincoln,Saint Bernard,103343
65,2020-12-14 05:03,Sub Urban,Freak (feat. REI AMI),171453
66,2020-12-15 20:09,Panic! At The Disco,New Perspective,227093
67,2020-12-15 20:12,Orville Peck,Queen of the Rodeo,197882
68,2020-12-15 20:14,flor,yellow (feat. MisterWives),94599
69,2020-12-15 20:14,Mumford & Sons,The Cave,1514
70,2020-12-15 20:17,Of Monsters and Men,Mountain Sound,211453
71,2020-12-15 20:21,Goth Babe,The Trees,210276
72,2020-12-22 04:00,Village People,Y.M.C.A.,306845
73,2020-12-22 04:01,Village People,Y.M.C.A.,47943
